Week,Publish Slot,Track,Content Category,Video Topic,Storytelling Angle,Hook Line,Google Flow Visual Style,SEO Title,Status
54,Mon,A - Science & The Tree,Plant signalling,"MAPK cascades - relaying the alarm from wound to nucleus","POV: a relay runner","The wound shouts at the cell wall - now the message has to sprint to the DNA.","Cellular relay animation, phosphorylation baton pass, neon-on-black","How a Wounded Agarwood Tree Gets the Message to Its Genes (MAPK Cascades)",Planned
54,Wed,B - History & Trade,Japan history,"The Nara-period customs ledgers - Japan's 8th-century jinko imports","Detective / archive","A 1,300-year-old inventory list, and 'jinko' is on it - by weight.","Ancient paper scrolls, brush-written kanji, museum-vault light","Japan's Oldest Agarwood Records: The Nara-Period Customs Ledgers",Planned
54,Fri,C - Culture / Myth / Medicine,Islamic medicine,"Avicenna on 'ud - agarwood in the canon of medieval Arabic medicine","Letter / scholar's voice","The most influential doctor of the Middle Ages wrote down what 'ud was for - carefully.","Medieval Persian study, the Canon of Medicine open, brass instruments","What Avicenna Wrote About Agarwood ('Ud in The Canon of Medicine)",Planned
54,Sun,D - Wildcard,Collecting,"How collectors store and 'feed' agarwood - humidity, light and the long game","Day-in-the-life","Wrong drawer, wrong humidity, and a fortune slowly loses its smell.","Macro of a collector's cabinet, hygrometer, wrapped chips, warm light","How to Store Agarwood Without Ruining It (Collector Practice)",Planned
55,Mon,A - Science & The Tree,Gene regulation,"ERF transcription factors - ethylene's hand on the agarwood genes","POV: a gene switch","Ethylene doesn't act alone - it works through a family of switches called ERFs.","Nucleus animation, ERF proteins docking on promoters, neon-on-black","ERF Genes: How Ethylene Triggers Agarwood at the DNA Level",Planned
55,Wed,B - History & Trade,Maritime history,"The Ryukyu Kingdom - Okinawa as an agarwood trans-shipment hub","Map journey","A string of small islands quietly handled oud moving between China, Japan and the south.","Animated maritime chart, Ryukyu ports glowing, junk ships","Okinawa's Oud Trade: The Ryukyu Kingdom as a Hidden Hub",Planned
55,Fri,C - Culture / Myth / Medicine,Islamic eschatology,"The 'perfume of paradise' - agarwood in Islamic descriptions of Jannah","Sensory journey","Some traditions say the scent of paradise is built partly from oud.","Ethereal gardens, light, drifting smoke, gold and white palette","Is Oud the 'Perfume of Paradise'? Agarwood in Islamic Tradition",Planned
55,Sun,D - Wildcard,Authentication,"Spot the fake oud oil - the practical adulteration tests anyone can do","Lab bench / how-to","Blotter, hot water, a freezer, your nose over time - five cheap tests, real answers.","Tabletop how-to, blotter strips, water glass, timer, clean light","5 At-Home Tests to Tell Real Oud Oil From Fake",Planned
56,Mon,A - Science & The Tree,Gene regulation,"MYB and bHLH factors - the wider regulatory web of agarwood","POV: a committee of genes","One master switch gets the credit - but a whole committee of genes votes on the response.","Network animation, gene nodes lighting in sequence, neon-on-black","Beyond AsMYC2: The Wider Gene Network That Builds Agarwood",Planned
56,Wed,B - History & Trade,Medieval Europe,"'Lignum aloes' in the medieval European apothecary","Object biography","In a medieval pharmacy, a splinter of 'lignum aloes' sat next to the most expensive cures.","Apothecary shop, leather-bound antidotaria, dim candle, dust","Agarwood as Medicine in Medieval Europe ('Lignum Aloes')",Planned
56,Fri,C - Culture / Myth / Medicine,Japanese tea ceremony,"Agarwood in the tea ceremony - the kobako and the host's hidden flex","Ritual close-up","Among the tea things sits a tiny box - and what's inside it quietly says everything.","Tea room, lacquered kobako opened, tatami, soft window light","The Incense Box in the Japanese Tea Ceremony (and Why It Matters)",Planned
56,Sun,D - Wildcard,Perfume economics,"What does a perfume house actually pay for the oud in your bottle?","By the numbers","That expensive 'oud' bottle - here's how little real oud is actually inside.","Neon data-viz, a perfume bottle dissected into cost layers","How Much Real Oud Is in Your Perfume? The Cost Breakdown",Planned
57,Mon,A - Science & The Tree,Enzymes,"The sesquiterpene-synthase gene family - beyond ASS1","Family tree of genes","ASS1 is famous, but it has siblings - and each one shapes a different note.","Gene-family tree animation branching into molecule shapes","The Enzyme Family That Builds Agarwood's Scent (Beyond ASS1)",Planned
57,Wed,B - History & Trade,Medieval trade,"The Crusades and the Levant trade - how oud reached medieval Europe","Map journey","Knights came home with more than relics - the Levant's spice ports moved oud west.","Medieval Mediterranean map, Levantine ports, caravans, ships","How the Crusades Helped Bring Agarwood to Medieval Europe",Planned
57,Fri,C - Culture / Myth / Medicine,Christianity,"Coptic and Ethiopian Orthodox liturgy - agarwood in African Christianity","Ritual close-up","In an Ethiopian church the censer swings - and the smoke is older than the building.","Rock-hewn church, ornate censer, candlelight, incense haze","Agarwood in Coptic and Ethiopian Orthodox Worship",Planned
57,Sun,D - Wildcard,Supply chain,"Inside a legal oud supply contract - how a perfume house sources it","Day-in-the-life","Species ID, CITES permit, lot numbers, a sample vial - the paperwork behind a 'simple' note.","Documentary, contract pages, sample vials, lab certificates","From Plantation to Perfume Lab: How a House Legally Sources Oud",Planned
58,Mon,A - Science & The Tree,Enzymes,"Cytochrome P450s - the enzymes that 'decorate' oud molecules","POV: an enzyme","The skeleton of the molecule isn't enough - P450 enzymes add the hooks that make it smell.","Enzyme animation, oxygen atoms slotted onto a sesquiterpene","The Enzymes That Add the Finishing Touches to Agarwood's Scent (P450s)",Planned
58,Wed,B - History & Trade,Mediterranean trade,"Venice and Genoa - the Mediterranean middlemen of the oud trade","Court intrigue","Two rival city-states, one lucrative cargo - and a lot of looking the other way.","Renaissance Venice, ledgers, galleys, gilt interiors","Venice, Genoa and the Medieval Oud Trade",Planned
58,Fri,C - Culture / Myth / Medicine,Hinduism,"Hindu life-cycle rites - agarwood in weddings and samskara","Day-in-the-life","From the wedding fire to the funeral pyre, the same fragrant wood marks the turning points.","Indian ceremony, sacred fire, marigolds, incense haze, warm gold","Agarwood in Hindu Rituals: From Weddings to Last Rites",Planned
58,Sun,D - Wildcard,Authentication tech,"Counterfeit-detection tech for oud - handheld GC, e-noses and lab-on-a-chip","Lab bench","A phone-sized 'nose' that says 'real' or 'fake' in 30 seconds - how close are we?","Lab-noir, portable analyser, digital readout, cool blue","The Gadgets Trying to Catch Fake Oud (Handheld GC and E-Noses)",Planned
59,Mon,A - Science & The Tree,Chromone chemistry,"Where chromones come from - the 2-(2-phenylethyl)chromone pathway","POV: a molecule (relay)","Agarwood's fingerprint molecules have a birth story - and it's a different pathway entirely.","3D molecular animation, a separate biosynthetic assembly line","How Agarwood Makes Its Fingerprint Molecules (Chromone Biosynthesis)",Planned
59,Wed,B - History & Trade,Qing China,"The Qing tribute system - agarwood as a diplomatic gift","Court intrigue","Send the emperor the right fragrant wood, and your kingdom's relationship just improved.","Forbidden City hall, tribute trays, silk, lacquer, gold light","Agarwood as Diplomacy: Tribute Oud in the Qing Court",Planned
59,Fri,C - Culture / Myth / Medicine,Chinese ritual,"Chinese ancestor worship and Qingming - oud for the dead","Day-in-the-life","On Tomb-Sweeping Day the smoke that rises is a message sent backwards in time.","Hillside graves, families, incense bundles, spring haze","Agarwood and Ancestor Worship: Oud at Qingming (Tomb-Sweeping Day)",Planned
59,Sun,D - Wildcard,Trade economics,"The wild-oud price ladder - what a piece costs at every step from forest to souk","By the numbers","Harvester, broker, exporter, wholesaler, souk - watch the price multiply at each hand.","Neon data-viz, a price climbing a ladder of hands","Forest to Souk: How Wild Oud's Price Multiplies at Every Step",Planned
60,Mon,A - Science & The Tree,Wood tissue,"Tyloses and gums - how a wounded vessel physically plugs itself","POV: inside a xylem vessel","Before the perfume, the plumbing - the tree literally inflates balloons to seal the leak.","Hyper-macro inside a wood vessel, tyloses ballooning shut","The Tiny Balloons That Seal a Wounded Agarwood Tree (Tyloses)",Planned
60,Wed,B - History & Trade,Edo Japan,"Edo-period Japan - the merchant connoisseurs and the price of jinko","Day-in-the-life","In Edo a wealthy merchant couldn't outrank a samurai - but he could out-smell one.","Edo townhouse, incense tools, ukiyo-e colour grade, lamplight","When Japanese Merchants Made Agarwood a Status Symbol (Edo Period)",Planned
60,Fri,C - Culture / Myth / Medicine,Buddhist mourning,"The 49-day memorial - agarwood in East Asian Buddhist mourning","Ritual close-up","For 49 days the incense doesn't stop - it's lighting a road for someone who just left.","Memorial altar, photo, continuous incense thread, dim warm light","The 49 Days of Incense: Agarwood in East Asian Buddhist Mourning",Planned
60,Sun,D - Wildcard,Geography of production,"Comparing the plantation regions - Vietnam, Thailand, India, Malaysia, Hainan","Comparison","Five regions, five climates, five house styles of oud - a tour of the world's oud farms.","Split-screen documentary, five plantations, drone over each","Where Is Plantation Oud Grown? Vietnam vs Thailand vs India vs Malaysia vs Hainan",Planned
61,Mon,A - Science & The Tree,Wood tissue,"Suberin - the cork-like seal vs the fragrant seal","Before / after split","A wounded tree builds two walls: a plain cork one, and the priceless fragrant one.","Cross-section macro, suberin layer vs resin zone, raking light","The Two Seals of a Wounded Agarwood Tree (Cork vs Resin)",Planned
61,Wed,B - History & Trade,Colonial entrepots,"Singapore and Penang - British-era agarwood entrepots","Map journey","Under the British, two free ports quietly became clearing-houses for Southeast Asian oud.","Colonial port, godowns, sailing ships, sepia-warm grade","How Singapore and Penang Became Agarwood Trading Hubs",Planned
61,Fri,C - Culture / Myth / Medicine,Feng shui,"Agarwood and feng shui / geomancy - placing the fragrant wood","Day-in-the-life","Where you put the agarwood in the room is, for some, as important as owning it.","Modern home, a dark resin piece on a console, soft directional light","Agarwood in Feng Shui: Why Placement Matters to Believers",Planned
61,Sun,D - Wildcard,Conservation models,"Community-managed wild harvest - the 'ethical wild oud' model","Profile / portrait","A village agrees: only this many trees, only this often - and the forest keeps some.","Documentary, community meeting, tagged wild trees, jungle light","Can Wild Oud Be Harvested Ethically? The Community-Forest Model",Planned
62,Mon,A - Science & The Tree,Chemistry deep-dive,"The eight sesquiterpene structural classes - a guided tour","Family tree of molecules","Guaiane, eudesmane, eremophilane, spirovetivane - eight molecular shapes, one famous smell.","3D molecular gallery, eight rotating skeletons, neon-on-black","The 8 Molecular Shapes Behind Agarwood's Scent (Sesquiterpene Classes)",Planned
62,Wed,B - History & Trade,Modern demand,"The Gulf oil boom - how 1970s wealth reshaped global oud demand","By the numbers","Oil money met an old love of oud - and the price of agarwood never looked back.","Archival 1970s Gulf footage, then a rising price line","How the Gulf Oil Boom Sent Agarwood Prices Soaring",Planned
62,Fri,C - Culture / Myth / Medicine,Wearable oud,"Wearable oud - beads, rings and the modern jewellery craze","Day-in-the-life","People used to burn it. Now they wear it - on the wrist, on the finger, on a cord.","Macro of dark agarwood beads and rings catching light, hands","Wearing Agarwood: The Rise of Oud Beads, Rings and Jewellery",Planned
62,Sun,D - Wildcard,Land rights,"Agarwood and Indigenous land rights - who owns the wild trees?","Detective / debate","The wild Aquilaria is on someone's ancestral land. The buyer is on another continent. Who decides?","Documentary, forest community, maps, legal documents","Who Owns Wild Agarwood? The Land-Rights Question",Planned
63,Mon,A - Science & The Tree,Photophysics,"Why agarwood glows under UV - the photophysics of the resin","Lab bench","Switch off the lights, switch on UV, and a chunk of oud starts to shine. Here's why.","Dark lab, UV lamp, resin chip fluorescing blue-green","Why Agarwood Glows Under Black Light (The Science of Oud Fluorescence)",Planned
63,Wed,B - History & Trade,Modern industry,"Japan's modern incense houses - Baieido, Shoyeido and the Awaji industry","Day-in-the-life","On one small Japanese island, centuries-old houses still blend agarwood by hand.","Awaji workshop, blending tables, incense drying racks, soft daylight","Inside Japan's Centuries-Old Incense Houses (Awaji Island)",Planned
63,Fri,C - Culture / Myth / Medicine,Gender & culture,"Oud and gender - who wears it, where, and how that's shifted","Origin story of a trend","'Oud is masculine' - except where it isn't, and except in the era when it wasn't.","Editorial montage across cultures and decades, perfume bottles","Is Oud a 'Men's' Scent? How Agarwood Crossed Gender Lines",Planned
63,Sun,D - Wildcard,Plantation risk,"Plantation pests and diseases - the threats to a 15-year agarwood crop","Detective / field","You wait 15 years for a payday - and a beetle, a fungus or a storm can erase it.","Field documentary, damaged trees, pest macro, anxious grower","What Can Destroy a 15-Year Agarwood Plantation",Planned
64,Mon,A - Science & The Tree,Origin chemistry,"Stable-isotope and trace-element fingerprinting - proving where a piece grew","Detective / lab","The wood remembers its soil and rain - and a mass spectrometer can read that memory.","Lab-noir, isotope-ratio readouts, a map lighting up an origin","How Scientists Prove Where a Piece of Agarwood Came From",Planned
64,Wed,B - History & Trade,Archaeology,"Agarwood archaeology - resin residues in ancient censers and shipwrecks","Detective / lab","Scrape an ancient bronze censer, run the residue - and smoke from 1,500 years ago talks.","Conservation lab, ancient censer, residue vials, shipwreck cutaway","Finding Agarwood in Shipwrecks and Ancient Censers (Archaeology)",Planned
64,Fri,C - Culture / Myth / Medicine,Hospitality,"Signature scents of luxury hospitality - hotels and airlines that bottled oud","Day-in-the-life","Walk into the lobby, smell the 'house oud' - that scent is a multi-year branding contract.","Luxury hotel lobby, diffusers, first-class cabin, warm gold light","Why Luxury Hotels and Airlines Smell of Oud (Signature Scents)",Planned
64,Sun,D - Wildcard,Financialization,"Tokenised trees and 'agarwood funds' - the new financialization (and its risks)","Detective / expose","Buy a fraction of a tree on an app, sell it before harvest - what could go wrong? Plenty.","Slick fintech UI that cracks into a dusty real plantation","Agarwood Investment Funds and Tokenised Trees: Opportunity or Trap?",Planned
65,Mon,A - Science & The Tree,Microbiology,"Endophytic bacteria in Aquilaria - the overlooked microbes","POV: a bacterium","Everyone studies the fungi - but there's a whole bacterial city living inside the tree too.","Micro-world animation, bacteria among wood cells, neon ecology","The Bacteria Inside Agarwood Trees Nobody Talks About",Planned
65,Wed,B - History & Trade,Synthesis,"How agarwood reshaped four economies - a comparative trade history","Comparison (master)","Champa, the Gulf, colonial Assam, modern Vietnam - one wood, four economies it bent.","Four-panel animated history, routes and ledgers, restrained palette","How Agarwood Built (and Bent) Four Different Economies",Planned
65,Fri,C - Culture / Myth / Medicine,Synthesis,"Sacred smoke worldwide - agarwood across every major religion, side by side","Comparison (master)","Buddhism, Hinduism, Islam, Christianity, Shinto, Daoism - all reached for the same wood.","Montage stitching temples, churches, mosques and shrines by a smoke thread","Agarwood in Every Major Religion: A Side-by-Side Tour of Sacred Smoke",Planned
65,Sun,D - Wildcard,Synthesis,"The agarwood content economy - who's monetising oud on YouTube and TikTok","Detective / meta","Unboxings, 'real vs fake' tests, plantation tours - there's a whole creator economy around oud.","Screen-recording montage, creator dashboards, oud unboxing clips","Who's Making Money Posting About Oud Online? (The Agarwood Creator Economy)",Planned
